
Total Equity
0.3395,0.2325,0.2201,0.2095,0.1949,0.1722,0.1679,0.1594,0.1565,0.1551,0.1609,0.1507,0.1477,
0.2008,0.2877,0.2182,0.2017,0.1962,0.1731,0.1567,0.1524,0.1471,0.1412,0.1361,0.1294,0.1264,
0.1787,0.1780,0.2571,0.1957,0.1907,0.1656,0.1497,0.1397,0.1346,0.1280,0.1212,0.1245,0.1178,
0.1764,0.1716,0.1679,0.2185,0.1904,0.1686,0.1532,0.1435,0.1258,0.1240,0.1234,0.1155,0.1197,
0.1632,0.1671,0.1550,0.1536,0.1981,0.1793,0.1665,0.1508,0.1394,0.1231,0.1157,0.1128,0.1107,
0.1457,0.1344,0.1324,0.1262,0.1396,0.1766,0.1597,0.1466,0.1343,0.1231,0.1073,0.1075,0.1039,
0.1355,0.1209,0.1175,0.1126,0.1304,0.1168,0.1626,0.1508,0.1307,0.1277,0.1136,0.1081,0.0950,
0.1253,0.1153,0.0995,0.1036,0.1079,0.1133,0.1119,0.1500,0.1447,0.1366,0.1253,0.1063,0.1035,
0.1303,0.1101,0.1007,0.0959,0.0948,0.1037,0.1074,0.1043,0.1434,0.1300,0.1259,0.1168,0.1054,
0.1323,0.1079,0.0991,0.0945,0.0860,0.0873,0.0948,0.0976,0.1051,0.1328,0.1312,0.1268,0.1093,
0.1266,0.1101,0.0946,0.0882,0.0807,0.0755,0.0822,0.0845,0.0970,0.0951,0.1283,0.1172,0.1068,
0.1280,0.1042,0.0903,0.0872,0.0778,0.0718,0.0698,0.0732,0.0784,0.0885,0.0834,0.1307,0.0971,
0.1186,0.0987,0.0863,0.0845,0.0761,0.0710,0.0648,0.0573,0.0683,0.0778,0.0741,0.0689,0.1310,

Total Equity Confidential Interval of 95% (2*Sigma)
0.0134,0.0210,0.0378,0.0327,0.0276,0.0389,0.0369,0.0345,0.0428,0.0374,0.0329,0.0302,0.0610,
0.0179,0.0127,0.0297,0.0299,0.0224,0.0397,0.0263,0.0334,0.0301,0.0462,0.0360,0.0307,0.0363,
0.0243,0.0225,0.0115,0.0288,0.0429,0.0341,0.0384,0.0272,0.0321,0.0487,0.0392,0.0336,0.0270,
0.0374,0.0360,0.0352,0.0171,0.0463,0.0329,0.0347,0.0515,0.0433,0.0465,0.0304,0.0299,0.0287,
0.0394,0.0475,0.0304,0.0510,0.0163,0.0477,0.0267,0.0248,0.0384,0.0607,0.0340,0.0297,0.0262,
0.0435,0.0378,0.0387,0.0450,0.0418,0.0113,0.0440,0.0368,0.0388,0.0344,0.0294,0.0303,0.0250,
0.0401,0.0493,0.0289,0.0417,0.0551,0.0259,0.0115,0.0277,0.0335,0.0226,0.0294,0.0259,0.0360,
0.0418,0.0391,0.0313,0.0359,0.0357,0.0288,0.0273,0.0166,0.0365,0.0308,0.0253,0.0310,0.0300,
0.0591,0.0437,0.0463,0.0374,0.0486,0.0344,0.0317,0.0294,0.0172,0.0194,0.0257,0.0264,0.0211,
0.0468,0.0427,0.0471,0.0532,0.0486,0.0349,0.0356,0.0327,0.0237,0.0094,0.0410,0.0218,0.0239,
0.0552,0.0456,0.0309,0.0330,0.0414,0.0323,0.0291,0.0317,0.0316,0.0305,0.0145,0.0262,0.0149,
0.0581,0.0342,0.0406,0.0344,0.0374,0.0281,0.0380,0.0491,0.0141,0.0318,0.0187,0.0125,0.0203,
0.0434,0.0380,0.0230,0.0341,0.0265,0.0201,0.0330,0.0244,0.0235,0.0377,0.0213,0.0157,0.0092,

Total Equity Over Average Of Players
205.57%,109.22%,98.10%,88.58%,75.42%,55.01%,51.07%,43.44%,40.80%,39.55%,44.80%,35.65%,32.94%,
80.69%,158.90%,96.43%,81.55%,76.60%,55.81%,40.99%,37.17%,32.42%,27.12%,22.46%,16.45%,13.77%,
60.83%,60.20%,131.37%,76.11%,71.65%,49.09%,34.75%,25.76%,21.16%,15.20%,9.12%,12.06%,6.05%,
